Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
;;Eine eiserne Maske mit einem grimmigen Totenkopfgesicht. Wenn sie getragen wird, kann sie nicht durch nichtmagische Mittel entfernt werden.;;;;;;;;Nskrvth;;;;;;
;;Eine Flasche mit sehr starkem Leim, hergestellt aus Pech und menschlichem Knochenstaub.;;;;;;;;Grktfnl;;;;;;
;;Eine Glasharmonika, die mit einer zuckerhaltigen dunklen Flüssigkeit gefüllt ist.;;;;;;;;Vsknrpl;;;;;;
;;Eine Henkersuniform mit einer furchterregenden Kapuze.;;;;;;;;Brhntsk;;;;;;
;;Eine hölzerne Puzzleschachtel. Wenn das Rätsel gelöst ist, gleitet ein schwarzer Finger heraus. Auf wen er zeigt, der beginnt zu ersticken.;;;;;;;;Ztlvfgr;;;;;;
;;Eine Keramikpuppe, die mit extrem brennbarem Öl gefüllt ist.;;;;;;;;Mkrthnsk;;;;;;
;;Eine kleine Kiste mit wichtigen medizinischen Hilfsmitteln. Starke Schienen, Verbände und Alkohol.;;;;;;;;Xvrkbltz;;;;;;
;;Eine kleine Topfpflanze. Vielleicht fleischfressend? Sie versucht, an deinen Fingern zu knabbern.;;;;;;;;Dtshkrvn;;;;;;
;;Eine künstliche Nase. Quietscht, wenn man sie zusammendrückt.;;;;;;;;Glpftchr;;;;;;
;;Eine Laterne mit fleischfarbenen Schirmen. Wirft ein unheimliches rotes Licht.;;;;;;;;Nzkvrtsch;;;;;;
;;Eine magische, selbstspielende Geige. Du hast schon bessere gehört.;;;;;;;;Rhlkvntm;;;;;;
;;Eine riesige, alte, verrostete Axt, in deren Stiel ein Name eingeritzt ist: „Thorn“.;;;;;;;;Arveluthandroskva;;;;;;
;;Eine rosa Flasche in Form einer Wolke. Der Schleim darin macht das Wasser sehr sprudelnd.;;;;;;;;Belkormundraveth;;;;;;
;;Eine Schachtel mit Ohrringen. Den Ohrringen nach zu urteilen, wurden sie wahrscheinlich abgerissen.;;;;;;;;Grittnalverhuskodan;;;;;;
;;Eine schöne Kieferholzkiste mit nagelneuen Fackeln.;;;;;;;;Tharuveldmostikan;;;;;;
;;Eine schwere schwarze Lederschürze. Verschiedene nützliche Werkzeuge in den Taschen.;;;;;;;;Kvelanthorbarusch;;;;;;
;;Eine sehr scharfe und robuste Säge.;;;;;;;;Ulfvarendragathmul;;;;;;
;;Eine winzige Pfeife mit hohem Ton. Lenkt Hunde ab, aber Menschen können sie nicht hören.;;;;;;;;Skelmorvathandriel;;;;;;
;;Fünfzig Fuß aufgerolltes, stahlverstärktes Seil. Viel schwerer und viel stärker als ein normales Seil.;;;;;;;;Darvunkelthosgrima;;;;;;
;;;;;;;;;;Vethkulandaromskel;;;;;;
;;;;;;;;;;Nortgavelthimbruvask;;;;;;
;;;;;;;;;;Hargulvendrathoskim;;;;;;
;;;;;;;;;;Albrimthorveldkanus;;;;;;
;;;;;;;;;;Quelvanthorskimdara;;;;;;
;;;;;;;;;;Jotnarvelgundramoth;;;;;;
;;;;;;;;;;Mürkelvandrathoskum;;;;;;
;;;;;;;;;;Falthundraveskimonar;;;;;;
;;;;;;;;;;Bröntharvelguskidam;;;;;;
;;;;;;;;;;Walgrimthovundreskal;;;;;;
;;;;;;;;;;Snörvandelthorbuskim;;;;;;
;;;;;;;;;;Prügelvandrathoskimun;;;;;;
;;;;;;;;;;Vael’drun’thask;;;;;;
;;;;;;;;;;Krul’veth’arn;;;;;;
;;;;;;;;;;Jor’khal’trüm;;;;;;
;;;;;;;;;;Brag’noth’vel;;;;;;
;;;;;;;;;;Thar’gul’venn;;;;;;
;;;;;;;;;;Skel’var’thun;;;;;;
;;;;;;;;;;Mur’dak’hel;;;;;;
;;;;;;;;;;Vrol’thag’rim;;;;;;
;;;;;;;;;;Kel’dras’vorn;;;;;;
;;;;;;;;;;Hruk’vel’dar;;;;;;
;;;;;;;;;;Zorn’gul’thesk;;;;;;
;;;;;;;;;;Narg’thrul’vask;;;;;;
;;;;;;;;;;Vel’drim’kor;;;;;;
;;;;;;;;;;Ulv’nash’gra;;;;;;
;;;;;;;;;;Krel’voth’nar;;;;;;
;;;;;;;;;;Drak’mur’thal;;;;;;
;;;;;;;;;;Gor’vel’kurn;;;;;;
;;;;;;;;;;Tal’grun’veth;;;;;;
;;;;;;;;;;Jar’thul’mek;;;;;;
;;;;;;;;;;Snar’vok’tren;;;;;;
;;;;;;;;;;Brün’thag’vul;;;;;;
;;;;;;;;;;Var’kesh’drun;;;;;;
;;;;;;;;;;Mör’vak’thul;;;;;;
;;;;;;;;;;Kran’der’vask;;;;;;
;;;;;;;;;;Thrul’gorn’esh;;;;;;
;;;;;;;;;;Hesk’var’ton;;;;;;
;;;;;;;;;;Yl’grath’ven;;;;;;
;;;;;;;;;;Quor’vak’til;;;;;;
;;;;;;;;;;Zhar’mlok’ven;;;;;;
;;;;;;;;;;Brel’thun’gar;;;;;;
;;;;;;;;;;Brüünthel;;;;;;
;;;;;;;;;;Gröömskäl;;;;;;
;;;;;;;;;;Hüürgvlön;;;;;;
;;;;;;;;;;Vöörthüm;;;;;;
;;;;;;;;;;Näälgrüb;;;;;;
;;;;;;;;;;Krööntvääl;;;;;;
;;;;;;;;;;Flüüghnör;;;;;;
;;;;;;;;;;Skäärvülm;;;;;;
;;;;;;;;;;Prööglün;;;;;;
;;;;;;;;;;Träävsköll;;;;;;
;;;;;;;;;;Grümthäl;;;;;;
;;;;;;;;;;Blöödnür;;;;;;
;;;;;;;;;;Määrghül;;;;;;
;;;;;;;;;;Kläörvünn;;;;;;
;;;;;;;;;;Drüüsnäk;;;;;;
;;;;;;;;;;Vlööthrän;;;;;;
;;;;;;;;;;Snäävrökk;;;;;;
;;;;;;;;;;Bräähntvür;;;;;;
;;;;;;;;;;Krüülthön;;;;;;
;;;;;;;;;;Würmträäl;;;;;;
;;;;;;;;;;Näögdrüü;;;;;;
;;;;;;;;;;Plöötschkää;;;;;;
;;;;;;;;;;Häärrgvöl;;;;;;
;;;;;;;;;;Strüübnäth;;;;;;
;;;;;;;;;;Klööfdrämm;;;;;;
;;;;;;;;;;Gräävkrüll;;;;;;
;;;;;;;;;;Vüülnörg;;;;;;
;;;;;;;;;;Zöölthrään;;;;;;
;;;;;;;;;;Brüüsglön;;;;;;
;;;;;;;;;;Dräämflökk;;;;;;
